ID,peak_value,dis2peak,板温,现场温度,光照强度,转换效率,转换效率A,转换效率B,转换效率C,电压A,电压B,电压C,电流A,电流B,电流C,功率A,std_power,mean_power,功率B,功率C,平均功率,风速,风向,发电量
7847,3333.05,1,3.91,-2.7,426,25.52,25.62,25.05,25.87,684.0,679.0,679.0,4.66,4.59,4.74,3187.44,1336.9732753166056,4159.314628099173,3116.61,3218.46,3174.17,5.1,84.0,6.620242912999999
7848,3333.05,2,4.41,-2.5,412,25.88,25.9,25.65,26.09,683.0,681.0,679.0,4.57,4.54,4.63,3121.31,1362.5665293465029,4175.943937823834,3091.74,3143.77,3118.94,5.3,105.0,6.514290008
7849,3333.05,3,4.31,-2.4,399,26.05,26.54,25.59,26.01,685.0,680.0,679.0,4.52,4.39,4.47,3096.2,1372.2108293945319,4161.931783783783,2985.2,3035.13,3038.84,2.5,93.0,6.318988672000001
7853,3333.05,7,4.2,-2.0,391,25.23,25.24,24.81,25.63,682.0,680.0,678.0,4.23,4.17,4.32,2884.86,1413.145230512694,4057.9109444444443,2835.6,2928.96,2883.14,3.8,84.0,5.9967410260000005
7855,3333.05,9,3.37,-2.2,383,25.35,25.25,25.05,25.74,684.0,682.0,681.0,4.12,4.1,4.22,2818.08,1419.5559337023128,3992.315000000001,2796.2,2873.82,2829.37,3.8,101.0,5.862787196
7857,3333.05,11,4.2,-1.7,368,25.81,25.01,24.56,27.86,681.0,681.0,678.0,3.95,3.88,4.42,2689.95,1442.0153944211356,3959.901888888888,2642.28,2996.76,2776.33,4.7,88.0,5.805049822000001
7861,3333.05,15,5.49,-1.7,445,25.34,25.17,25.14,25.71,681.0,676.0,676.0,4.83,4.86,4.97,3289.23,1443.2042320950954,3868.1148333333335,3285.36,3359.72,3311.44,4.4,65.0,6.851263831
7862,3333.05,16,5.33,-2.0,438,25.63,25.61,25.48,25.81,680.0,678.0,677.0,4.84,4.83,4.9,3291.2,1439.7571592942065,3852.478722222223,3274.74,3317.3,3294.41,4.1,81.0,6.812549346
7864,3333.05,18,5.26,-1.7,436,25.26,25.16,24.82,25.79,679.0,677.0,676.0,4.74,4.69,4.88,3218.46,1460.7387399756178,3811.8166666666666,3175.13,3298.88,3230.82,3.4,88.0,6.663535809
7866,3333.05,20,4.68,-1.4,374,26.43,27.32,26.19,25.79,683.0,678.0,679.0,4.38,4.23,4.16,2991.54,1464.9875064959745,3739.397388888889,2867.94,2824.64,2894.71,6.7,99.0,6.191078823
7867,3333.05,21,3.95,-1.6,351,24.61,24.45,23.92,25.46,683.0,681.0,678.0,3.67,3.6,3.85,2506.61,1477.3120000608747,3711.2814999999996,2451.6,2610.3,2522.84,3.6,89.0,5.277688999
7868,3333.05,22,3.74,-1.5,311,25.95,26.26,26.11,25.47,681.0,681.0,678.0,3.5,3.48,3.41,2383.5,1486.7247569982949,3700.809833333333,2369.88,2311.98,2355.12,5.5,95.0,5.046978042
7869,3333.05,23,3.24,-1.7,300,25.35,25.12,25.16,25.75,686.0,683.0,680.0,3.2,3.22,3.31,2195.2,1488.963618265063,3688.299111111111,2199.26,2250.8,2215.09,3.6,92.0,4.662742277
7870,3333.05,24,3.47,-1.7,293,25.28,25.22,24.76,25.87,686.0,680.0,682.0,3.14,3.11,3.24,2154.04,1463.7037479410044,3666.8711111111115,2114.8,2209.68,2159.51,2.1,99.0,4.546541485
7871,3333.05,25,3.2,-1.5,292,24.68,24.52,24.46,25.06,686.0,682.0,681.0,3.04,3.05,3.13,2085.44,1467.2822698016412,3648.4732777777776,2080.1,2131.53,2099.02,5.3,98.0,4.497502287
7873,3333.05,27,2.22,-1.7,275,24.22,23.94,23.99,24.73,685.0,684.0,683.0,2.79,2.8,2.89,1911.15,1463.6460406556089,3598.576222222222,1915.2,1973.87,1933.41,4.7,90.0,4.10936663
7878,3333.05,32,2.22,-1.2,298,23.86,23.66,23.6,24.32,689.0,685.0,683.0,2.97,2.98,3.08,2046.33,1449.0633471723113,3473.0386666666664,2041.3,2103.64,2063.76,3.1,85.0,4.23507739
7880,3333.05,34,2.14,-1.5,304,24.06,23.56,24.18,24.42,686.0,686.0,684.0,3.03,3.11,3.15,2078.58,1467.8950107221806,3388.291388888889,2133.46,2154.6,2122.21,4.2,101.0,4.426576227
7882,3333.05,36,2.35,-1.4,310,24.37,24.26,24.28,24.58,689.0,683.0,683.0,3.17,3.2,3.24,2184.13,1436.4387494914386,3323.1965000000005,2185.6,2212.92,2194.22,4.6,97.0,4.615524108
7885,3333.05,39,2.79,-1.3,295,24.49,24.78,24.2,24.49,686.0,683.0,680.0,3.1,3.04,3.09,2126.6,1372.1183001192944,3317.7831843575423,2076.32,2101.2,2101.37,4.2,79.0,4.466523652
7886,3333.05,40,2.66,-1.4,298,25.02,25.09,25.02,24.95,688.0,686.0,682.0,3.16,3.16,3.17,2174.08,1351.6780194825817,3296.295139664805,2167.76,2161.94,2167.93,5.2,82.0,4.619253889
7887,3333.05,41,2.47,-1.4,298,24.19,24.28,24.29,23.99,687.0,685.0,681.0,3.06,3.07,3.05,2102.22,1346.7434587169703,3233.1788268156424,2102.95,2077.05,2094.07,3.7,99.0,4.407902992
7889,3333.05,43,2.22,-1.4,274,24.67,23.91,25.8,24.3,684.0,684.0,683.0,2.78,3.0,2.83,1901.52,1337.889742117092,3170.28592178771,2052.0,1932.89,1962.14,5.3,90.0,4.138086311
7890,3333.05,44,2.54,-1.4,277,24.67,24.25,25.2,24.57,685.0,683.0,682.0,2.85,2.97,2.9,1952.25,1345.4101398637774,3105.0838547486032,2028.51,1977.8,1986.19,4.6,79.0,4.1986291210000015
7891,3333.05,45,2.62,-1.5,249,24.81,24.52,25.53,24.39,680.0,682.0,679.0,2.61,2.71,2.6,1774.8,1326.606675128414,3066.9434636871515,1848.22,1765.4,1796.14,3.2,89.0,3.801797101000001
7892,3333.05,46,2.39,-1.5,237,22.68,22.26,22.42,23.35,684.0,680.0,681.0,2.24,2.27,2.36,1532.16,1316.1916454124116,3019.499553072626,1543.6,1607.16,1560.97,4.1,91.0,3.33363551
7893,3333.05,47,1.58,-1.5,208,23.04,23.13,23.52,22.46,683.0,678.0,680.0,2.04,2.09,1.99,1393.32,1315.085956904857,2962.1408938547484,1417.02,1353.2,1387.85,4.1,96.0,2.979815721
7897,3333.05,51,0.22,-1.5,160,21.5,21.0,21.02,22.49,682.0,678.0,678.0,1.42,1.43,1.53,968.44,1294.4118768833555,2828.5543016759775,969.54,1037.34,991.77,4.4,87.0,2.076714824
7898,3333.05,52,-0.02,-1.8,162,21.84,21.71,21.33,22.49,680.0,677.0,677.0,1.49,1.47,1.55,1013.2,1281.9759894470787,2779.6948044692735,995.19,1049.35,1019.25,3.6,99.0,2.156042769
7899,3333.05,53,-0.2,-1.9,166,22.6,22.25,22.9,22.63,686.0,684.0,676.0,1.55,1.6,1.6,1063.3,1261.8372968537167,2749.357374301676,1094.4,1081.6,1079.77,3.3,100.0,2.266150946
7901,3333.05,55,-0.31,-1.9,170,22.62,22.79,22.48,22.59,684.0,683.0,682.0,1.63,1.61,1.62,1114.92,1227.7439983706847,2644.6090395480223,1099.63,1104.84,1106.46,4.5,86.0,2.346549843
7902,3333.05,56,-0.1,-1.5,165,21.51,21.24,20.93,22.36,682.0,681.0,681.0,1.48,1.46,1.56,1009.36,1247.4722358112626,2545.2672471910114,994.26,1062.36,1021.99,3.4,109.0,2.13697944
7903,3333.05,57,-0.1,-1.6,150,22.0,22.2,21.85,21.94,680.0,679.0,677.0,1.41,1.39,1.4,958.8,1232.0370089986584,2546.793446327684,943.81,947.8,950.14,3.0,95.0,2.036276032
7905,3333.05,59,-0.52,-1.6,138,21.85,22.2,21.46,21.88,683.0,676.0,673.0,1.29,1.26,1.29,881.07,1208.1550322950125,2433.534318181818,851.76,868.17,867.0,5.0,80.0,1.831044292
7907,3333.05,61,-1.56,-2.0,121,18.82,18.75,18.3,19.41,677.0,675.0,673.0,0.96,0.94,1.0,649.92,1179.1905424381903,2348.9205714285713,634.5,673.0,652.47,3.9,101.0,1.3581452880000002
7908,3333.05,62,-1.58,-1.9,97,22.4,22.66,22.0,22.55,677.0,672.0,674.0,0.93,0.91,0.93,629.61,1174.3210591455522,2294.5628,611.52,626.82,622.65,3.2,94.0,1.321428595
7910,3333.05,64,-1.79,-2.0,93,22.23,22.24,21.77,22.68,673.0,674.0,671.0,0.88,0.86,0.9,592.24,1151.1982714338435,2190.5701724137934,579.64,603.9,591.93,4.9,90.0,1.206026443
7911,3333.05,65,-1.94,-2.2,93,22.13,22.0,21.65,22.73,673.0,670.0,672.0,0.87,0.86,0.9,585.51,1142.0410277200485,2151.247701149425,576.2,604.8,588.84,5.7,84.0,1.188158744
7912,3333.05,66,-2.16,-2.2,91,22.05,22.02,21.79,22.33,674.0,675.0,668.0,0.85,0.84,0.87,572.9,1139.0801858634684,2072.5679310344826,567.0,581.16,573.69,4.3,89.0,1.173252117
7915,3333.05,69,-2.41,-2.4,80,22.42,22.54,22.18,22.54,669.0,667.0,669.0,0.77,0.76,0.77,515.13,1087.688338794633,1920.8887283236995,506.92,515.13,512.39,4.9,80.0,1.039494689
7917,3333.05,71,-2.52,-2.4,70,22.54,22.35,22.35,22.92,667.0,667.0,664.0,0.67,0.67,0.69,446.89,1065.4357825489146,1840.7702339181285,446.89,458.16,450.65,3.6,105.0,0.930167053
7918,3333.05,72,-2.56,-2.4,66,23.19,23.39,22.94,23.25,668.0,665.0,664.0,0.66,0.65,0.66,440.88,1058.4229651433948,1788.1521052631579,432.25,438.24,437.12,3.3,93.0,0.925953623
7919,3333.05,73,-2.6,-2.4,64,23.04,23.4,22.6,23.12,668.0,666.0,660.0,0.64,0.62,0.64,427.52,1054.0556182110165,1723.026705202312,412.92,422.4,420.95,4.1,104.0,0.8680199809999999
7920,3333.05,74,-2.75,-2.4,63,21.95,21.82,21.26,22.76,665.0,659.0,660.0,0.59,0.58,0.62,392.35,1010.9357026211428,1685.1381176470586,382.22,409.2,394.59,3.8,101.0,0.809249953
7925,3333.05,79,-3.37,-2.7,37,23.39,22.18,23.41,24.6,649.0,649.0,648.0,0.36,0.38,0.4,233.64,952.1519105168742,1454.6336419753084,246.62,259.2,246.49,5.8,101.0,0.438407115
7927,3333.05,81,-3.69,-2.9,23,27.38,27.35,27.43,27.35,639.0,641.0,639.0,0.28,0.28,0.28,178.92,922.0740851803798,1358.8061249999998,179.48,178.92,179.11,3.0,76.0,0.408238802
7928,3333.05,82,-3.75,-2.9,22,26.9,26.55,26.47,27.66,639.0,637.0,641.0,0.26,0.26,0.27,166.14,916.8329723268387,1298.1935443037976,165.62,173.07,168.28,5.2,81.0,0.299197932
7931,3333.05,85,-4.14,-3.0,11,35.93,36.3,35.84,35.66,630.0,622.0,619.0,0.18,0.18,0.18,113.4,858.2808886598292,1192.3961224489794,111.96,111.42,112.26,2.8,96.0,0.270884758
7932,4821.35,85,-3.54,-3.0,8,43.36,43.92,43.5,42.66,625.0,619.0,607.0,0.16,0.16,0.16,100.0,858.2808886598292,1192.3961224489794,99.04,97.12,98.72,2.5,96.0,0.275475641
7933,4821.35,84,-4.29,-3.1,7,46.63,46.95,46.8,46.12,622.0,620.0,611.0,0.15,0.15,0.15,93.3,878.8320490309687,1201.5773548387097,93.0,91.65,92.65,3.2,90.0,0.216040655
7937,4821.35,80,0.01,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.153660119431,1393.8872392638036,0.0,0.0,0.0,0.1,1.0,0.379993053
7940,4821.35,77,-12.27,-12.4,69,36.99,38.4,36.44,36.13,711.0,709.0,703.0,1.03,0.98,0.98,732.33,982.2772663382145,1518.3693529411764,694.82,688.94,705.36,0.0,344.0,1.208210101
7942,4821.35,75,-12.12,-12.4,67,36.33,37.02,36.53,35.44,707.0,705.0,706.0,0.97,0.96,0.93,685.79,1004.6047681772699,1601.4910526315791,676.8,656.58,673.06,1.2,9.0,1.38810665
7943,4821.35,74,-11.89,-12.3,79,35.86,36.85,36.49,34.23,713.0,706.0,706.0,1.13,1.13,1.06,805.69,1010.9357026211428,1685.1381176470586,797.78,748.36,783.94,0.9,359.0,1.327191999
7944,4821.35,73,-11.64,-12.0,90,35.18,34.27,35.46,35.82,706.0,707.0,703.0,1.21,1.25,1.27,854.26,1054.0556182110165,1723.026705202312,883.75,892.81,876.94,0.0,27.0,1.771620121
7946,4821.35,71,-11.12,-11.7,91,36.58,36.82,37.23,35.69,715.0,712.0,704.0,1.3,1.32,1.28,929.5,1065.4357825489146,1840.7702339181285,939.84,901.12,923.49,0.0,331.0,1.649567106
7948,4821.35,69,-10.14,-11.1,116,36.97,37.53,35.62,37.76,717.0,710.0,713.0,1.69,1.62,1.71,1211.73,1087.688338794633,1920.8887283236995,1150.2,1219.23,1193.72,0.0,9.0,2.526590831
7950,4821.35,67,-9.16,-11.0,132,39.12,38.63,41.01,37.73,712.0,713.0,706.0,2.0,2.12,1.97,1424.0,1107.918290632988,2033.5681502890175,1511.56,1390.82,1442.13,1.5,350.0,2.728397981
7952,4821.35,65,-8.39,-10.6,152,38.09,37.92,37.43,38.93,714.0,711.0,708.0,2.26,2.24,2.34,1613.64,1142.0410277200485,2151.247701149425,1592.64,1656.72,1621.0,0.0,317.0,3.2144977010000004
7955,4821.35,62,-7.39,-10.2,181,36.23,35.56,35.79,37.34,709.0,708.0,711.0,2.55,2.57,2.67,1807.95,1174.3210591455522,2294.5628,1819.56,1898.37,1841.96,0.0,57.0,3.801159206
7956,4821.35,61,-7.06,-10.1,184,36.59,36.17,36.31,37.3,709.0,709.0,707.0,2.64,2.65,2.73,1871.76,1179.1905424381903,2348.9205714285713,1878.85,1930.11,1893.57,0.0,34.0,3.94038346
7957,4821.35,60,-6.71,-10.0,192,36.76,36.59,36.7,36.99,709.0,706.0,709.0,2.79,2.81,2.82,1978.11,1208.3337893321693,2382.2504545454544,1983.86,1999.38,1987.12,0.0,48.0,4.145795612
7958,4821.35,59,-6.33,-10.1,204,35.71,35.28,35.43,36.43,707.0,705.0,703.0,2.87,2.89,2.98,2029.09,1208.1550322950125,2433.534318181818,2037.45,2094.94,2053.83,0.0,0.0,4.288245576
7959,4821.35,58,-5.91,-10.0,211,35.44,35.08,35.2,36.03,706.0,706.0,706.0,2.96,2.97,3.04,2089.76,1209.9699290712447,2528.0393142857138,2096.82,2146.24,2110.94,0.0,38.0,4.400077905
7960,4821.35,57,-4.52,-9.5,220,35.99,35.76,35.95,36.27,704.0,701.0,705.0,3.17,3.2,3.21,2231.68,1232.0370089986584,2546.793446327684,2243.2,2263.05,2245.98,0.0,30.0,4.704242627
7962,4821.35,55,-3.52,-9.5,241,34.41,33.88,34.04,35.31,702.0,699.0,700.0,3.31,3.34,3.46,2323.62,1227.7439983706847,2644.6090395480223,2334.66,2422.0,2360.09,0.0,16.0,4.924534468
7969,4821.35,48,-1.2,-8.5,304,32.7,32.26,32.69,33.13,693.0,692.0,688.0,4.06,4.12,4.2,2813.58,1329.7605341909195,2897.5574301675974,2851.04,2889.6,2851.41,0.1,103.0,5.900077027000001
7970,4821.35,47,0.03,-8.3,311,32.84,32.98,32.45,33.1,692.0,689.0,688.0,4.27,4.22,4.31,2954.84,1315.085956904857,2962.1408938547484,2907.58,2965.28,2942.57,0.5,20.0,6.143039249
7971,4821.35,46,0.58,-7.7,336,31.72,31.35,31.19,32.61,691.0,689.0,686.0,4.4,4.39,4.61,3040.4,1316.1916454124116,3019.499553072626,3024.71,3162.46,3075.86,0.7,78.0,6.3506685360000015
7972,4821.35,45,0.74,-8.0,338,32.0,31.69,31.62,32.7,692.0,689.0,685.0,4.47,4.48,4.66,3093.24,1326.606675128414,3066.9434636871515,3086.72,3192.1,3124.02,0.8,100.0,6.46160537
7973,4821.35,44,1.37,-8.1,341,31.91,31.55,31.37,32.81,689.0,685.0,686.0,4.52,4.52,4.72,3114.28,1345.4101398637774,3105.0838547486032,3096.2,3237.92,3149.47,0.4,94.0,6.527201817999999
7975,4821.35,42,1.01,-8.0,362,31.2,30.75,30.75,32.09,689.0,686.0,684.0,4.67,4.69,4.91,3217.63,1359.1954959515847,3198.7410614525133,3217.34,3358.44,3264.47,0.2,21.0,6.70843637
7976,4821.35,41,1.58,-7.8,369,31.49,31.0,31.7,31.78,686.0,683.0,682.0,4.83,4.96,4.98,3313.38,1346.7434587169703,3233.1788268156424,3387.68,3396.36,3365.81,0.8,68.0,6.9093720639999985
7977,4821.35,40,1.43,-7.8,384,31.13,30.87,30.69,31.83,685.0,681.0,683.0,5.01,5.01,5.18,3431.85,1351.6780194825817,3296.295139664805,3411.81,3537.94,3460.53,1.2,62.0,7.11353534
7979,4821.35,38,2.18,-7.7,395,30.85,30.53,30.66,31.36,685.0,680.0,681.0,5.11,5.17,5.28,3500.35,1391.6389554489022,3325.984357541899,3515.6,3595.68,3537.21,1.5,53.0,7.267834463
7981,4821.35,36,2.64,-7.1,409,30.78,30.23,30.79,31.32,682.0,683.0,677.0,5.27,5.36,5.5,3594.14,1436.4387494914386,3323.1965000000005,3660.88,3723.5,3659.51,0.0,123.0,7.524752685
7982,4821.35,35,3.04,-6.9,424,30.38,29.62,30.64,30.88,682.0,679.0,677.0,5.36,5.57,5.63,3655.52,1437.9953826211895,3372.635833333334,3782.03,3811.51,3749.69,0.5,89.0,7.659211264
7983,4821.35,34,3.08,-7.1,429,30.39,29.8,30.5,30.89,678.0,679.0,678.0,5.49,5.61,5.69,3722.22,1467.8950107221806,3388.291388888889,3809.19,3857.82,3796.41,1.3,41.0,7.759682939
7984,4821.35,33,3.79,-6.7,434,29.99,29.38,29.96,30.64,678.0,674.0,675.0,5.49,5.63,5.75,3722.22,1475.6605631270131,3426.638333333333,3794.62,3881.25,3799.36,1.7,73.0,7.783080562
7986,4821.35,31,4.56,-6.7,443,29.81,29.37,29.48,30.59,674.0,674.0,671.0,5.65,5.67,5.91,3808.1,1453.4168991924112,3491.5505,3821.58,3965.61,3865.1,1.8,65.0,7.961800629
7987,4821.35,30,5.01,-6.4,448,29.69,29.3,29.48,30.3,675.0,671.0,671.0,5.7,5.77,5.93,3847.5,1461.5754181044574,3508.030055555555,3871.67,3979.03,3899.4,0.0,64.0,8.060557637
7988,4821.35,29,5.49,-6.4,458,29.41,29.03,29.29,29.9,673.0,671.0,668.0,5.8,5.87,6.02,3903.4,1459.4353413861718,3547.8445000000006,3938.77,4021.36,3954.51,1.4,75.0,8.156415072
7989,4821.35,28,5.28,-6.5,461,29.52,29.55,28.82,30.17,674.0,671.0,668.0,5.93,5.81,6.11,3996.82,1451.1909671813623,3586.3070000000002,3898.51,4081.48,3992.27,2.4,65.0,8.300786505
7992,4821.35,25,6.18,-6.5,471,29.35,29.81,28.77,29.46,673.0,667.0,663.0,6.14,5.98,6.16,4132.22,1467.2822698016412,3648.4732777777776,3988.66,4084.08,4068.32,1.7,62.0,8.513775509
7994,4821.35,23,8.31,-5.9,482,29.03,28.87,28.62,29.59,670.0,662.0,665.0,6.16,6.18,6.36,4127.2,1488.963618265063,3688.299111111111,4091.16,4229.4,4149.25,1.1,79.0,8.664164965
7996,4821.35,21,9.33,-5.5,484,28.87,28.77,28.45,29.41,662.0,662.0,663.0,6.26,6.19,6.39,4144.12,1477.3120000608747,3711.2814999999996,4097.78,4236.57,4159.49,0.0,142.0,8.737820597999999
7997,4821.35,20,10.24,-5.4,487,28.52,27.77,28.73,29.05,662.0,658.0,659.0,6.1,6.35,6.41,4038.2,1464.9875064959745,3739.397388888889,4178.3,4224.19,4146.9,1.3,105.0,8.605136032
7999,4821.35,18,10.32,-5.5,513,28.47,28.26,28.04,29.11,657.0,656.0,656.0,6.59,6.55,6.8,4329.63,1460.7387399756178,3811.8166666666666,4296.8,4460.8,4362.41,1.2,118.0,9.137404005
8001,4821.35,16,11.31,-5.0,525,28.02,27.55,27.68,28.84,656.0,654.0,652.0,6.61,6.66,6.96,4336.16,1439.7571592942065,3852.478722222223,4355.64,4537.92,4409.91,0.9,111.0,9.229549352000001
8002,4821.35,15,11.43,-5.0,528,27.91,27.43,27.34,28.95,654.0,653.0,653.0,6.64,6.63,7.02,4342.56,1443.2042320950954,3868.1148333333335,4329.39,4584.06,4418.67,2.0,105.0,9.262708053999999
8003,4821.35,14,11.43,-5.4,525,28.07,27.83,27.29,29.08,654.0,651.0,655.0,6.7,6.6,6.99,4381.8,1440.0355971238562,3899.1234999999997,4296.6,4578.45,4418.95,0.3,120.0,9.309461173999999
8004,4821.35,13,12.24,-4.7,527,27.96,27.77,27.77,28.35,653.0,652.0,654.0,6.74,6.75,6.87,4401.22,1412.0282007148658,3926.636777777778,4401.0,4492.98,4431.73,1.3,52.0,9.321037965
8006,4821.35,11,11.41,-4.5,539,27.84,27.48,26.91,29.13,655.0,652.0,653.0,6.78,6.67,7.21,4440.9,1442.0153944211356,3959.901888888888,4348.84,4708.13,4499.29,0.0,81.0,9.51478055
8007,4821.35,10,10.28,-4.6,534,27.93,27.52,27.43,28.83,655.0,654.0,653.0,6.7,6.69,7.04,4388.5,1427.1807988334906,3984.132333333334,4375.26,4597.12,4453.63,0.9,62.0,9.349344851
8008,4821.35,9,10.2,-4.7,535,28.11,27.68,27.88,28.78,657.0,654.0,653.0,6.73,6.81,7.04,4421.61,1419.5559337023128,3992.315000000001,4453.74,4597.12,4490.82,0.0,26.0,9.431786879
8009,4821.35,8,10.43,-4.4,530,28.19,28.13,27.5,28.94,656.0,654.0,650.0,6.79,6.66,7.05,4454.24,1429.5956597563988,4014.016333333333,4355.64,4582.5,4464.13,1.2,88.0,9.41254308
8010,4821.35,7,10.33,-4.9,543,28.19,28.43,28.14,28.01,654.0,652.0,650.0,7.05,7.0,6.99,4610.7,1413.145230512694,4057.9109444444443,4564.0,4543.5,4572.73,0.0,86.0,9.657203537000001
8011,4821.35,6,10.99,-4.2,539,28.14,28.56,27.35,28.5,652.0,650.0,647.0,7.07,6.79,7.11,4609.64,1408.4878297036582,4073.849888888889,4413.5,4600.17,4541.1,1.2,66.0,9.677821263
8013,4821.35,4,9.66,-4.5,552,27.85,27.51,27.66,28.38,654.0,650.0,653.0,6.92,7.0,7.15,4525.68,1352.231893979354,4148.84635359116,4550.0,4668.95,4581.54,0.1,71.0,9.609745031000001
8014,4821.35,3,11.51,-3.8,543,27.46,26.94,27.73,27.69,652.0,650.0,649.0,6.73,6.95,6.95,4387.96,1372.2108293945319,4161.931783783783,4517.5,4510.55,4472.0,0.0,274.0,9.330115276
8018,4756.86,0,10.78,-4.0,570,27.89,28.3,26.91,28.47,654.0,651.0,649.0,7.38,7.05,7.48,4826.52,1226.4210476885603,4330.038222222223,4589.55,4854.52,4756.86,0.6,31.0,10.26778229
8019,4756.86,1,12.43,-4.0,538,27.81,28.11,27.42,27.89,654.0,649.0,647.0,6.96,6.84,6.98,4551.84,1336.9732753166056,4159.314628099173,4439.16,4516.06,4502.35,0.6,76.0,9.564315986
8020,4756.86,2,12.49,-4.0,562,27.89,28.43,28.41,26.85,649.0,646.0,647.0,7.41,7.44,7.02,4809.09,1362.5665293465029,4175.943937823834,4806.24,4541.94,4719.09,0.0,0.0,9.954482136000001
8024,4756.86,6,16.1,-3.2,590,26.85,26.61,26.32,27.62,641.0,641.0,638.0,7.47,7.39,7.79,4788.27,1408.4878297036582,4073.849888888889,4736.99,4970.02,4831.76,0.0,186.0,10.19996194
8027,4756.86,9,15.68,-3.7,574,26.82,26.39,26.58,27.5,638.0,640.0,640.0,7.23,7.26,7.51,4612.74,1419.5559337023128,3992.315000000001,4646.4,4806.4,4688.51,1.5,32.0,9.928533882
8028,4756.86,10,14.87,-3.3,576,26.93,26.64,26.65,27.49,640.0,642.0,642.0,7.28,7.26,7.49,4659.2,1427.1807988334906,3984.132333333334,4660.92,4808.58,4709.57,0.0,335.0,9.865272179
8033,4756.86,15,17.68,-3.0,580,26.22,25.99,25.56,27.1,637.0,637.0,637.0,7.26,7.14,7.57,4624.62,1443.2042320950954,3868.1148333333335,4548.18,4822.09,4664.96,0.0,267.0,9.854856189
8034,4756.86,16,16.99,-2.7,573,26.41,26.32,25.65,27.25,640.0,637.0,637.0,7.21,7.06,7.5,4614.4,1439.7571592942065,3852.478722222223,4497.22,4777.5,4629.71,0.0,97.0,9.898346512
8035,4756.86,17,16.87,-2.7,572,26.34,25.86,26.18,26.98,640.0,637.0,637.0,7.07,7.19,7.41,4524.8,1446.089960792213,3850.893555555556,4580.03,4720.17,4608.33,2.6,124.0,9.72913431
8037,4756.86,19,17.56,-2.9,573,26.36,25.93,26.04,27.12,639.0,639.0,637.0,7.13,7.16,7.48,4556.07,1488.2322469412875,3742.6334444444446,4575.24,4764.76,4632.02,0.0,137.0,9.802294097999999
8038,4756.86,20,17.47,-3.0,564,26.46,25.8,26.5,27.08,640.0,639.0,637.0,6.97,7.17,7.35,4460.8,1464.9875064959745,3739.397388888889,4581.63,4681.95,4574.79,1.0,118.0,9.654848976
8039,4756.86,21,18.07,-2.5,575,26.33,25.49,26.69,26.82,636.0,638.0,635.0,7.08,7.39,7.46,4502.88,1477.3120000608747,3711.2814999999996,4714.82,4737.1,4651.6,0.8,94.0,9.761464652
8041,4756.86,23,16.37,-3.0,592,26.22,25.91,25.95,26.81,637.0,633.0,635.0,7.35,7.41,7.63,4681.95,1488.963618265063,3688.299111111111,4690.53,4845.05,4739.18,0.0,281.0,9.954022156
8043,4756.86,25,18.47,-2.2,597,26.11,25.76,25.98,26.6,635.0,632.0,632.0,7.45,7.55,7.73,4730.75,1467.2822698016412,3648.4732777777776,4771.6,4885.36,4795.9,0.0,272.0,10.09991927
8044,4756.86,26,18.7,-1.7,589,26.3,25.94,26.19,26.76,635.0,635.0,632.0,7.41,7.48,7.68,4705.35,1463.019664317415,3615.7889444444445,4749.8,4853.76,4769.64,0.0,195.0,10.0763206
8045,4756.86,27,19.01,-1.5,587,26.41,26.19,26.25,26.8,637.0,636.0,633.0,7.44,7.47,7.66,4739.28,1463.6460406556089,3598.576222222222,4750.92,4848.78,4779.66,0.0,155.0,10.14640229
8048,4756.86,30,16.7,-2.4,589,26.47,26.39,26.07,26.94,637.0,635.0,634.0,7.46,7.39,7.65,4752.02,1461.5754181044574,3508.030055555555,4692.65,4850.1,4764.92,0.0,94.0,10.15884453
8049,4756.86,31,18.14,-2.4,587,26.33,26.3,25.76,26.92,636.0,634.0,634.0,7.46,7.33,7.66,4744.56,1453.4168991924112,3491.5505,4647.22,4856.44,4749.41,0.0,264.0,10.07620448
8051,4756.86,33,17.43,-2.4,582,26.52,26.4,26.35,26.81,638.0,636.0,631.0,7.38,7.39,7.58,4708.44,1475.6605631270131,3426.638333333333,4700.04,4782.98,4730.49,0.0,72.0,10.07448893
8053,4756.86,35,17.89,-2.0,570,26.46,26.32,26.36,26.68,638.0,639.0,630.0,7.22,7.22,7.41,4606.36,1437.9953826211895,3372.635833333334,4613.58,4668.3,4629.41,1.1,124.0,9.823212094
8054,4756.86,36,17.7,-2.4,566,26.12,25.7,25.69,26.98,643.0,639.0,633.0,6.94,6.98,7.4,4462.42,1436.4387494914386,3323.1965000000005,4460.22,4684.2,4535.61,1.6,122.0,9.612179845
8056,4756.86,38,16.37,-2.3,553,26.65,26.32,26.38,27.26,644.0,640.0,640.0,6.9,6.96,7.19,4443.6,1391.6389554489022,3325.984357541899,4454.4,4601.6,4499.87,0.0,174.0,9.517375567
8057,4756.86,39,16.08,-2.5,552,26.22,25.67,25.95,27.03,642.0,636.0,639.0,6.73,6.87,7.12,4320.66,1372.1183001192944,3317.7831843575423,4369.32,4549.68,4413.22,0.2,103.0,9.31307331
